date,f1,f2,fips
2020-03-23,-0.3250823636363636,0.2877774545454545,6
2020-03-24,-0.34841,0.2973025454545454,6
2020-03-25,-0.3515412727272727,0.2908274545454545,6
2020-03-26,-0.3502563636363636,0.2831703636363636,6
2020-03-27,-0.3558887272727272,0.2718270909090909,6
2020-03-28,-0.402034,0.3339494545454545,6
2020-03-29,-0.4089807272727272,0.3618181818181818,6
2020-03-30,-0.3313685454545454,0.2838852727272727,6
2020-03-31,-0.3187850909090908,0.2785114545454545,6
2020-04-01,-0.3040629090909091,0.2645581818181818,6
2020-04-02,-0.3219076363636364,0.2731323636363636,6
2020-04-03,-0.3112331481481481,0.253694074074074,6
2020-04-04,-0.3991503636363636,0.336048,6
2020-04-05,-0.4590170909090909,0.4016218181818181,6
2020-04-06,-0.3707883636363636,0.30861,6
2020-04-07,-0.3443787272727272,0.2921903636363636,6
2020-04-08,-0.358410909090909,0.2925376363636363,6
2020-04-09,-0.3795274545454545,0.2999958181818181,6
2020-04-10,-0.3635587272727272,0.2777745454545454,6
2020-04-11,-0.3603503636363636,0.3080827272727273,6
2020-04-12,-0.4060445454545454,0.3526552727272727,6
2020-04-13,-0.3148135185185185,0.2774777777777777,6
2020-04-14,-0.2939291071428571,0.2678239285714285,6
2020-04-15,-0.2823292857142857,0.2602089285714286,6
2020-04-16,-0.3021307142857142,0.2682067857142857,6
2020-04-17,-0.3205176363636363,0.2644149090909091,6
2020-04-18,-0.3239772727272726,0.3025994545454545,6
2020-04-19,-0.3210278181818182,0.3305349090909091,6
2020-04-20,-0.2882210909090909,0.2721245454545454,6
2020-04-21,-0.2817551851851851,0.2666427777777778,6
2020-04-22,-0.298534074074074,0.2650318518518518,6
2020-04-23,-0.303152037037037,0.2657129629629629,6
2020-04-24,-0.2999249090909091,0.2529789090909091,6
2020-04-25,-0.2832854545454545,0.2855094545454545,6
2020-04-26,-0.2742294642857142,0.3122758928571428,6
2020-04-27,-0.2547259999999999,0.2574710909090908,6
2020-04-28,-0.2464074545454545,0.2542832727272727,6
2020-04-29,-0.257356,0.2527403636363636,6
2020-04-30,-0.2551843636363636,0.2471812727272727,6
2020-05-01,-0.2315834545454545,0.2259025454545454,6
2020-05-02,-0.2355245454545454,0.2679756363636363,6
2020-05-03,-0.2155703636363636,0.2915641818181818,6
2020-05-04,-0.2036968518518518,0.2365596296296296,6
2020-05-05,-0.2055190909090909,0.2355414545454545,6
2020-05-06,-0.2182087272727272,0.2358114545454545,6
2020-05-07,-0.2352463636363636,0.2388830909090909,6
2020-05-08,-0.2198607272727272,0.2269163636363636,6
2020-05-09,-0.1797794545454545,0.2481081818181818,6
2020-05-10,-0.1630794642857142,0.2633532142857143,6
2020-05-11,-0.1995563636363636,0.2421565454545454,6
2020-05-12,-0.2192281481481481,0.2502772222222222,6
2020-05-13,-0.223302909090909,0.2397243636363636,6
2020-05-14,-0.2239770909090909,0.2404058181818182,6
2020-05-15,-0.2043818181818181,0.2191703636363636,6
2020-05-16,-0.1805256363636363,0.2510570909090909,6
2020-05-17,-0.2176830909090909,0.3016403636363636,6
2020-05-18,-0.225562909090909,0.248790909090909,6
2020-05-19,-0.1935616363636363,0.2366307272727272,6
2020-05-20,-0.1905587272727272,0.2262043636363636,6
2020-05-21,-0.1883619999999999,0.2226776363636363,6
2020-05-22,-0.169076909090909,0.2123832727272727,6
2020-05-23,-0.1332874545454545,0.2343476363636363,6
2020-05-24,-0.1159238181818181,0.2600269090909091,6
2020-05-25,-0.2183670909090909,0.2610496363636364,6
2020-05-26,-0.147952909090909,0.2217327272727272,6
2020-05-27,-0.1699899999999999,0.2240181818181818,6
2020-05-28,-0.1632954545454545,0.2210367272727272,6
2020-05-29,-0.165582909090909,0.2062534545454545,6
2020-05-30,-0.1782263636363636,0.247978909090909,6
2020-05-31,-0.1222805454545454,0.264782909090909,6
2020-06-01,-0.1156014545454545,0.2125045454545454,6
2020-06-02,-0.1274074545454545,0.2126056363636363,6
2020-06-03,-0.1431910909090909,0.2095121818181818,6
2020-06-04,-0.1394485454545454,0.2085592727272727,6
2020-06-05,-0.1346674545454545,0.1970570909090909,6
2020-06-06,-0.1080603636363636,0.2234672727272727,6
2020-06-07,-0.0740041818181818,0.2526636363636363,6
2020-06-08,-0.107250909090909,0.2081130909090909,6
2020-06-09,-0.1011074545454545,0.2066689090909091,6
2020-06-10,-0.1230796363636363,0.204532,6
2020-06-11,-0.1319045454545454,0.2035292727272727,6
2020-06-12,-0.1297865454545454,0.1966261818181818,6
2020-06-13,-0.086240909090909,0.2193332727272727,6
2020-06-14,-0.0169116363636363,0.2387445454545454,6
2020-06-15,-0.0803774545454545,0.2042619999999999,6
2020-06-16,-0.0782454545454545,0.2010903636363636,6
2020-06-17,-0.110538,0.1989578181818181,6
2020-06-18,-0.1080325454545454,0.1984369090909091,6
2020-06-19,-0.099686909090909,0.1898,6
2020-06-20,-0.048830909090909,0.2096492727272727,6
2020-06-21,-0.0006718181818181,0.2227350909090909,6
2020-06-22,-0.0790730909090909,0.2030007272727272,6
2020-06-23,-0.0877936363636363,0.2046770909090909,6
2020-06-24,-0.1085432727272727,0.2009139999999999,6
2020-06-25,-0.1171214545454545,0.2027387272727272,6
2020-06-26,-0.1154301818181818,0.1925956363636363,6
2020-06-27,-0.0719490909090909,0.2181314545454545,6
2020-06-28,-0.0109107272727272,0.2397405454545454,6
2020-06-29,-0.0723241818181818,0.2029836363636363,6
2020-06-30,-0.0825245454545454,0.2007312727272727,6
2020-07-01,-0.0770778181818181,0.192052909090909,6
